Dominant_Topic,Topic_Keywords,Num_Reviews,Perc_Reviews
1.0,"fun, great, lot, play, easy, addictive, fast, wonderful, mind, simple",53382,27.1539752784984
2.0,"game, love, nice, awesome, good, amazing, force, close, challenge, reward",20597,10.477135154382216
3.0,"good, game, poker, world, job, market, favourite, solid, beautiful, excited",15273,7.768960781321532
4.0,"good, game, poker, fantastic, online, store, line, gambling, music, superb",13384,6.808077725214915
5.0,"app, day, star, notification, gift, annoying, hour, phone, uninstalled, uninstall",9815,4.992624243349102
6.0,"time, game, update, app, screen, work, freeze, long, load, open",9683,4.925479424182309
7.0,"chip, free, account, spin, bonus, amount, buy, coin, gold, purchase",11131,5.662037743527137
8.0,"player, bad, year, playing, guy, stupid, level, experience, crap, download",9348,4.755074011902946
9.0,"table, play, friend, option, big, alot, buddy, change, facebook, thing",7932,4.034793224477339
10.0,"problem, fix, connection, version, phone, issue, update, error, bug, log",9747,4.958034488020754
11.0,"hand, card, win, high, full, pair, bet, pot, big, low",8219,4.180782338877868
12.0,"game, time, play, tournament, place, week, sit, thing, wrong, room",5978,3.0408464316597996
13.0,"game, great, nice, cool, excellent, graphic, ad, love, addictive, enjoyable",14340,7.294368991301694
14.0,"money, people, real, site, fair, bot, loose, bad, lose, life",7761,3.947810163283992
